aryne_ID,aryne_energy
aryne_1081,-475.2801
aryne_1082,-475.2773
aryne_1083,-537.5828
aryne_1084,-537.5862
aryne_1085,-537.5904
aryne_1086,-537.5903
aryne_1087,
aryne_1088,-998.0673
aryne_1089,-730.7147
aryne_1090,-602.2473
aryne_1091,-582.3866
aryne_1092,-582.358
aryne_1093,-472.9807
aryne_1094,-472.9288
aryne_1095,-1000.4346
aryne_1096,-501.1802
aryne_1097,-748.6821
aryne_1098,-507.3219
aryne_1099,-453.212
aryne_1100,-453.1627
aryne_1101,-698.7498
aryne_1102,-527.1494
aryne_1103,
aryne_1104,-428.3894
aryne_1105,-752.8737
aryne_1106,
aryne_1107,-925.1707
aryne_1108,-355.9785
aryne_1109,-850.0646
aryne_1110,-850.0679
aryne_1111,-1111.3377
aryne_1112,
aryne_1113,-488.9843
aryne_1114,-815.8203
aryne_1115,-815.8023
aryne_1116,-564.1915
aryne_1117,-614.3354
aryne_1118,-1283.9401
aryne_1119,-1002.94
aryne_1120,-829.0511
aryne_1121,
aryne_1122,-1000.3906
aryne_1123,-825.23
aryne_1124,-602.2149
aryne_1125,-903.121
aryne_1126,-831.8351
aryne_1127,-1359.1011
aryne_1128,-961.0261
aryne_1129,-827.9141
aryne_1130,-485.1751
aryne_1131,-632.8376
aryne_1132,-485.245
aryne_1133,-828.0006
aryne_1134,-919.1055
aryne_1135,-1168.0917
aryne_1136,-1685.8819
aryne_1137,-709.3299
aryne_1138,
aryne_1139,-582.4907
aryne_1140,-865.014
aryne_1141,-1263.018
aryne_1142,-539.2761
aryne_1143,-941.2401
aryne_1144,-811.9783
aryne_1145,-1020.1525
aryne_1146,
aryne_1147,-925.1989
aryne_1148,-584.0329
aryne_1149,-566.7167
aryne_1150,-582.486
aryne_1151,-582.4652
aryne_1152,-618.2952
aryne_1153,-1243.2047
aryne_1154,-543.0979
aryne_1155,-573.5876
aryne_1156,-941.1883
aryne_1157,-557.8908
aryne_1158,-507.296
aryne_1159,-507.2974
aryne_1160,
aryne_1161,-831.8156
aryne_1162,-634.2067
aryne_1163,-693.5085
aryne_1164,-508.7958
aryne_1165,-586.2773
aryne_1166,-586.2548
aryne_1167,-1320.999
aryne_1168,-489.062
aryne_1169,-998.0759
aryne_1170,-582.408
aryne_1171,-920.2311
aryne_1172,
aryne_1173,-961.0154
aryne_1174,-655.2355
aryne_1175,-501.245
aryne_1176,-841.21
aryne_1177,-448.1169
aryne_1178,-677.4511
aryne_1179,-775.5761
aryne_1180,-410.0729
aryne_1181,-1091.4489
aryne_1182,-995.4383
aryne_1183,-925.1616
aryne_1184,-923.0142
aryne_1185,-841.224
aryne_1186,-828.036
aryne_1187,-945.0072
aryne_1188,-1343.1536
aryne_1189,-566.3878
aryne_1190,-566.3652
aryne_1191,-697.2931
aryne_1192,
aryne_1193,-505.0129
aryne_1194,-618.3253
aryne_1195,-1168.0676
aryne_1196,-848.9634
aryne_1197,-831.8539
aryne_1198,-489.0266
aryne_1199,-1016.3201
aryne_1200,-466.9116
