data_source,regid,smiles
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2166,Brc1cc(-c2ccccc2)on1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2167,Brc1noc(C2CC2)n1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2168,Brc1noc(Cc2ccccc2)n1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2169,Brc1noc(-c2ccccc2)n1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr217,Cc1cc(Br)cc2nc[nH]c12
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2170,Brc1nsc(-c2ccccc2)n1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2171,N#Cc1csnc1Br
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2172,Brc1nc(-c2ccccc2)co1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2174,Brc1nc(-c2ccccc2)no1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2178,CC(=O)c1cc(Br)sc1C
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr218,Cc1cc(Br)cc2nccnc12
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2182,Cc1sc(Br)cc1S(N)(=O)=O
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2188,Cc1nc(Br)sc1C
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr219,Cc1cc(Br)cc(C)n1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2191,CC(=O)n1ncc2sc(Br)cc21
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2193,Cc1cccc2sc(Br)nc12
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2194,Clc1cccc2sc(Br)nc12
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2195,Fc1cccc2sc(Br)nc12
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2197,CC(=O)c1csc(Br)c1
